variable,variable_type,responses,question_standardized,response_standardized,country,format
Section_1.2:Resultat_rempli_oui:Section_2:Autres_relations,Non-categorical,Non-categorical variable,relationship_other,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_2:Viv_defunt,Categorical,oui,live_with_deceased,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_2:Viv_defunt,Categorical,non,live_with_deceased,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,hopital,place_died,hospital,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,maison,place_died,home,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,autres,place_died,other,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Ou_decede,Categorical,centre_sante,place_died,other_health_facility,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Autres_decede,Non-categorical,Non-categorical variable,place_died_specific,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Decede_centre,Categorical,non,place_died_health_centre,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Decede_centre,Categorical,oui,place_died_health_centre,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_3:Code_centre,Non-categorical,Non-categorical variable,health_centre_code,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_4:Maladie,Non-categorical,Non-categorical variable,account_of_illness,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_4:Cause1_mort,Non-categorical,Non-categorical variable,cause_death1,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_4:Cause2_mort,Non-categorical,Non-categorical variable,cause_death2,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies,Categorical,suivantes,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_coeur,Categorical,oui,heart_disease,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_coeur,Categorical,non,heart_disease,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_coeur,Categorical,ne_sait_pas,heart_disease,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_diabete,Categorical,oui,diabetes,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_diabete,Categorical,non,diabetes,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_diabete,Categorical,ne_sait_pas,diabetes,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_asthme,Categorical,oui,asthma,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_asthme,Categorical,non,asthma,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_asthme,Categorical,ne_sait_pas,asthma,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_epilepsie,Categorical,oui,epilepsy,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_epilepsie,Categorical,non,epilepsy,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_epilepsie,Categorical,ne_sait_pas,epilepsy,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_malnutrition,Categorical,oui,malnutrition,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_malnutrition,Categorical,non,malnutrition,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_malnutrition,Categorical,ne_sait_pas,malnutrition,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_cancer,Categorical,oui,cancer,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_cancer,Categorical,non,cancer,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_cancer,Categorical,ne_sait_pas,cancer,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Type_cancer,Non-categorical,Non-categorical variable,cancer_specific,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_tuberculose,Categorical,oui,tb,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_tuberculose,Categorical,non,tb,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_tuberculose,Categorical,ne_sait_pas,tb,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_VIH,Categorical,oui,aids,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_VIH,Categorical,non,aids,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_VIH,Categorical,ne_sait_pas,aids,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_autre,Categorical,oui,other_illness,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_autre,Categorical,non,other_illness,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_autre,Categorical,ne_sait_pas,other_illness,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_5:Maladies_oui:Mal_autre1,Non-categorical,Non-categorical variable,other_illness_specific,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure,Categorical,non,injury_accident,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure,Categorical,oui,injury_accident,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure,Categorical,ne_sait_pas,injury_accident,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Type_blessure,Categorical,transport,injury_type,road_accident,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Type_blessure,Categorical,chute,injury_type,fall,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Type_blessure,Categorical,brulure,injury_type,burn,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Type_blessure,Categorical,autre,injury_type,other,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Autre_blessure,Non-categorical,Non-categorical variable,injury_type_other,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Blessure_inflge,Categorical,oui,injury_other_inflicted,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Blessure_inflge,Categorical,non,injury_other_inflicted,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Blessure_oui:Blessure_inflge,Categorical,ne_sait_pas,injury_other_inflicted,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Animal,Categorical,oui,venomous_animal,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Animal,Categorical,non,venomous_animal,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Animal,Categorical,ne_sait_pas,venomous_animal,dk,mali,champs1
Section_1.2.Resultat_rempli_oui.Section_6.Type_animal,Categorical,chien,animal,dog,mali,champs1
Section_1.2.Resultat_rempli_oui.Section_6.Type_animal,Categorical,serpent,animal,snake,mali,champs1
Section_1.2.Resultat_rempli_oui.Section_6.Type_animal,Categorical,insecte,animal,insect,mali,champs1
Section_1.2.Resultat_rempli_oui.Section_6.Type_animal,Categorical,ne_sait_pas,animal,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_6:Autre_animal,Non-categorical,Non-categorical variable,animal_other,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee,Categorical,non,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee,Categorical,oui,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Petit,Categorical,non,small_at_birth,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Petit,Categorical,oui,small_at_birth,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Petit,Categorical,ne_sait_pas,small_at_birth,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Premature,Categorical,non,premature,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Premature,Categorical,oui,premature,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Premature,Categorical,ne_sait_pas,premature,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Grossesse_mois,Non-categorical,Non,months_pregnancy,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Croissance,Categorical,oui,grow_normal_before_illness,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Croissance,Categorical,non,grow_normal_before_illness,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Croissance,Categorical,ne_sait_pas,grow_normal_before_illness,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Bombement,Categorical,non,bulging_fontanelle,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Bombement,Categorical,oui,bulging_fontanelle,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Bombement,Categorical,ne_sait_pas,bulging_fontanelle,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Jours_bombement,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Jours_bombement,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_7:Plus_annee_oui:Jours_bombement1,Non-categorical,Non-categorical variable,days_bulging_fontanelle,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Mere_maintenant,Categorical,saine,mother_current_health,healthy,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Mere_maintenant,Categorical,malade,mother_current_health,sick,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Mere_maintenant,Categorical,pas_vie,mother_current_health,died,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Mere_maintenant,Categorical,dk,mother_current_health,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_malade,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_malade,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_malade1,Non-categorical,Non-categorical variable,days_ill_before_death,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre,Categorical,oui,fever,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre,Categorical,non,fever,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre,Categorical,ne_sait_pas,fever,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Temps_fievre,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Temps_fievre,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Jours_fievre,Non-categorical,Non-categorical variable,days_fever,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_severe,Categorical,oui,fever_severe,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_severe,Categorical,non,fever_severe,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_severe,Categorical,ne_sait_pas,fever_severe,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_continue,Categorical,continue,fever_continue,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_continue,Categorical,intermittente,fever_continue,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Fievre_continue,Categorical,ne_sait_pas,fever_continue,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Frissons,Categorical,oui,chills,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Frissons,Categorical,non,chills,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Fievre_oui:Frissons,Categorical,ne_sait_pas,chills,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux,Categorical,oui,cough,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux,Categorical,non,cough,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux,Categorical,ne_sait_pas,cough,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Temps_toux,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Temps_toux,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Temps_toux1,Non-categorical,Non-categorical variable,days_cough,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_severe,Categorical,oui,cough_severe,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_severe,Categorical,non,cough_severe,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_severe,Categorical,ne_sait_pas,cough_severe,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_vomi,Categorical,oui,cough_vomit,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_vomi,Categorical,non,cough_vomit,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Toux_oui:Toux_vomi,Categorical,ne_sait_pas,cough_vomit,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_rapide,Categorical,oui,fast_breathing,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_rapide,Categorical,non,fast_breathing,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_rapide,Categorical,ne_sait_pas,fast_breathing,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_resp_rapide,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_resp_rapide,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_resp_rapide1,Non-categorical,Non-categorical variable,days_fast_breathing,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Difficulte_resp,Categorical,oui,difficulty_breathing,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Difficulte_resp,Categorical,non,difficulty_breathing,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Difficulte_resp,Categorical,ne_sait_pas,difficulty_breathing,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_difficulte_resp,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_difficulte_resp,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_difficulte_resp1,Non-categorical,Non-categorical variable,days_difficulty_breathing,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Tirage,Categorical,oui,chest_pull_in,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Tirage,Categorical,non,chest_pull_in,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Tirage,Categorical,ne_sait_pas,chest_pull_in,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_tirage,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_tirage,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_tirage1,Non-categorical,Non-categorical variable,days_chest_pull_in,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_bruyante,Categorical,oui,noisy_breathing,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_bruyante,Categorical,non,noisy_breathing,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Resp_bruyante,Categorical,ne_sait_pas,noisy_breathing,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Ouv_narines,Categorical,oui,flaring_nostrils,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Ouv_narines,Categorical,non,flaring_nostrils,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Ouv_narines,Categorical,ne_sait_pas,flaring_nostrils,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee,Categorical,oui,diarrhea,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee,Categorical,non,diarrhea,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee,Categorical,ne_sait_pas,diarrhea,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_diarrhee,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_diarrhee,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_diarrhee1,Non-categorical,Non-categorical variable,days_diarrhea,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Selles,Categorical,selles,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Selles,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Selles1,Non-categorical,Non-categorical variable,number_stools_per_day,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Sang_selles,Categorical,oui,bloody_stool,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Sang_selles,Categorical,non,bloody_stool,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Sang_selles,Categorical,ne_sait_pas,bloody_stool,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Deshydrate_diarrhee,Categorical,oui,dehydrated,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Deshydrate_diarrhee,Categorical,non,dehydrated,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Deshydrate_diarrhee,Categorical,ne_sait_pas,dehydrated,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Yeux_enfonces,Categorical,oui,sunken_eye,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Yeux_enfonces,Categorical,non,sunken_eye,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Yeux_enfonces,Categorical,ne_sait_pas,sunken_eye,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_enfonces,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_enfonces,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Temps_enfonces1,Non-categorical,Non-categorical variable,days_sunken_eye,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Peau_ridee,Categorical,oui,wrinkled_skin,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Peau_ridee,Categorical,non,wrinkled_skin,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Peau_ridee,Categorical,ne_sait_pas,wrinkled_skin,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Liquide_SRO,Categorical,oui,oral_rehydration,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Liquide_SRO,Categorical,non,oral_rehydration,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Diarrhee_oui:Liquide_SRO,Categorical,ne_sait_pas,oral_rehydration,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi,Categorical,non,vomit,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi,Categorical,oui,vomit,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi,Categorical,ne_sait_pas,vomit,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Temps_vomi,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Temps_vomi,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Temps_vomi1,Non-categorical,Non-categorical variable,days_vomit,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Fois_vomi,Categorical,untitled,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Fois_vomi,Categorical,fois,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Vomi_oui:Fois_vomi1,Non-categorical,Non-categorical variable,times_vomit,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab,Categorical,oui,abdomen_pain,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab,Categorical,non,abdomen_pain,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab,Categorical,ne_sait_pas,abdomen_pain,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Temps_douleur_ab,Categorical,jours,days_abdomen_pain,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Temps_douleur_ab,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Temps_douleur_ab1,Non-categorical,Non-categorical variable,days_abdomen_pain,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Douleur_ab_severe,Categorical,oui,abdomen_pain_severe,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Douleur_ab_severe,Categorical,non,abdomen_pain_severe,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Douleur_ab_oui:Douleur_ab_severe,Categorical,ne_sait_pas,abdomen_pain_severe,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab,Categorical,oui,protruding_abdomen,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab,Categorical,non,protruding_abdomen,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab,Categorical,ne_sait_pas,protruding_abdomen,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Temps_distension_ab,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Temps_distension_ab,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Temps_distension_ab1,Non-categorical,Non-categorical variable,days_protruding_abdomen,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Distension_rapid,Categorical,rapidement,rapidly_protruding_abdomen,rapid,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Distension_rapid,Categorical,graduellement,rapidly_protruding_abdomen,gradual,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Distension_ab_oui:Distension_rapid,Categorical,ne_sait_pas,rapidly_protruding_abdomen,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Sans_selle,Categorical,oui,no_stool,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Sans_selle,Categorical,non,no_stool,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Sans_selle,Categorical,ne_sait_pas,no_stool,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Masse_abdomen,Categorical,oui,abdomen_mass,yes,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Masse_abdomen,Categorical,non,abdomen_mass,no,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Masse_abdomen,Categorical,ne_sait_pas,abdomen_mass,dk,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_masse_ab,Categorical,jours,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_masse_ab,Categorical,ne_sait_pas,NA,NA,mali,champs1
Section_1.2:Resultat_rempli_oui:Section_8:Temps_masse_ab1,Non-categorical,Non-categorical variable,days_abdomen_mass,NA,mali,champs1
